,Address,Price,Beds,Baths,City,Area,Street,Description
3756,95 White Oak Ave,1999900,3,2,Brighton,Rural Brighton,White Oak Ave,"This Custom Built Home Is Situated On 26 Acres Of Peace And Tranquility.  The Trails Are Perfect For Taking A Walk Or If You Are A Horse Enthusiast There Is A Great Barn With Hydro,Water, Two Hemlock Stalls, 3 Paddocks. Large Private Owned Pond And Spring Fed Stream..."
3757,30 Regina St,999000,9,3,Waterloo,,,"*Commercial U1-20 Zoning* That Has Huge Potentials And Allow For (6 Storeys) Restaurant, Caf?, Hotel, Financial Services, Pet Store, Retail Stores And So Much More. Steps To Lrt (350 Meters), Bus, Park, Bars! Please See Detailed Zoning Paperwork Attached. Currently..."
3758,14642 The Gore Rd,3899000,3,5,Caledon,Rural Caledon,The Gore Rd,"Amazing Custom Gated Energy Efficient Dream Home On Approximately 1.6 Acre Estate Lot With A Custom 3 Car Garage!! Upgraded/Updated Throughout Finest With Only The Best Materials.Grand Porch & Foyer W Crown Moulding & Trim.Huge Formal Rooms Throughout, Including A..."
3759,54 Red Clay Rd,398900,2,1,,Cheltenham,Red Clay Rd,"This Is A Co-Operative.Ferndale Park Co-Operative Comprised Of 44 Homes On 34 Acres Of Land, Located In The Hills Of South Caledon, With Trails & Credit River Beachfront At The End Of The Street.Enjoy Area Influences Of Golfing, Fishing, Hiking, Cycling & More..."
3760,3574 Line 13 Line,925000,0,0,Bradford West Gwillimbury,Rural Bradford West Gwillimbury,Line 13 Line,"Over 25 Acres For A Potential Building Lot. 10 Minutes To Bradford Or Cookstown And Highway 400 Access. Lot Regulated Entirely Under The Nottawasaga Valley Conservation Authority. 9.29 Acres Zoned Rural ""Ru"" And 15 Acres Zoned Environmentally Protected ""Ep"". Nice And..."
3761,66 Rose St,948500,3,2,Georgina,Sutton & Jackson's Point,Rose St,"City & Country Living In This 2017 Custom Built Home In High Demand Jackson's Point! Stunning Forest Views On Huge 65 X 250 Ft Private Lot W Creek - Perfect For Skating! Features Modern O/C Layout W Fully Upgraded Kit, Gas Fplc, 3 Spacious Bdrms & 2 Modern Baths. Huge..."
3762,133 Decast Cres,1299800,3,3,Markham,Box Grove,Decast Cres,"Excellent Location In Box Grove Community At Markham! Townhouse Built By Arista! 3 Bedrms & 3 Baths. 1809 Sf. Lot Of Upgrade: 9' Ceiling, Hardwood Floor On Main Flr, Oakstairs, Direct Access To Garage, Main Flr Laundry!, Hugh Kitchen W! Close To Markville Mall..."
3763,1020 Corner Ave,799000,3,1,Innisfil,Lefroy,Corner Ave,"Cozy 3 Bedroom Bungalow Situated On Private Lot With Mature Trees & Green Space Behind.(75 X 200Ft). Open Concept Kitchen, Combined With Living And Dining Rooms. The Property Is Surrounded By Custom Built Homes. Municipal Sewer & Well. A Short Commute (1/2 An Hour..."
3764,48 Martindale Rd,1999999,4+2,5,,Cliffcrest,Martindale Rd,"Awesome Property In A Great Location At Bellamy & Eglinton! 4 Plus 2 Bedrooms With 7 Washrooms. Big Lot: 52 By 127.83 Ft! Bring Your Clients To Show! Hot Market In Cliffcrest Area In Wonderful Neighbourhood. Walking Distance To School, Park, Bus Stop And Eglinton Go..."
3765,114 Marchmount Rd,1799000,3+1,4,,Wychwood,Marchmount Rd,"Fantastic Opportunity To Purchase This Large 3 Unit Home... Live On The 2nd And 3rd Floors With A Massive Walkout Deck (26'6'' X 13'6''). Rent The Main Floor And Basement, Or Rent All 3 Units Out! Parking For One Vehicle And Separate Laundry Room With Coin Operated..."
3766,1134 Pine Grove Rd 21,499000,2,2,Out of Area,,,"Lakefront Condo On The Shuswap Lake In Scotch Creek, Bc. Two Levels Fully Furnished With Lake Views. Shared Common Paved Parking For Complex. All Window Coverings Included. Laminate Flooring Throughout Except For Carpeted Stairwells. Propane Supplied To Fireplace And..."
3767,35 Watergarden Dr Ph3403,1679850,3,4,Mississauga,City Centre,Watergarden Dr,"Live In One Of Mississauga's Premier Luxury Residences Overlooking The City And Waterfront. This Penthouse Was Designed For Comfort And Opulence, 2-Storey, 2,020 Sq. Ft Condominium Offers Remarkable Upgraded Interiors Complimented By Expansive Windows Emanating With..."
3768,3 Marine Parade Dr 1106,649000,2+2,2,,Mimico,Marine Parade Dr,"Luxury Retirement Living Condo! Spacious 2 Br + 2 Solarium Corner Suite Located At Hearthstone By The Bay! Bright & Open Concept Unit W/ Lovely Lake Views From Patio, Full Kitchen W/ S/S Appl., W/Os To Balcony W/ Beautiful Sunsets. Life At Hearthstone Is About..."
3769,251 Manitoba St 718,639900,1+1,1,Manitoba St,,,"Welcome To Empire Phoenix Condo, Brand New 1+1, 595 Sf, Den Can Be Used As Br, Thousands $$$ Upgrade, Amazing West View,. Amenities Include A Gorgeous Outdoor Infinity Pool & Rooftop Deck, State-Of-The-Art Fitness Facility, Wi-Fi Workspace, Pet Wash Station. Quick Walk..."
3770,1990 Bloor St 901,789900,1+1,1,,High Park North,Bloor St,"Enjoy Every Sunset! Located In The Heart Of Bloor West, A Unit Designed By Cecconi Simone Truly Is A Must See! Features A West Facing Balcony To Enjoy All The Views. A Bright Open Concept Layout, Modern Designed Kitchen Integrated Bult-In Appliances & Granite Counters..."
3771,31 Parliament St 1802,1355900,2,2,,,,"No.31 Condominiums In The Distillery District.This Impressive Building Was Designed By New York's Award Winning Architects-Aquitectonica Whose Inspiration Was Drawn From The Industrial,Warehouse Vernacular Of The Vibrant Area.Most Suites Have Balconies Which Sit Behind..."
3772,12 York St 1604,1200000,3+1,2,,Waterfront Communities C1,York St,"Modern Ice Condo Near Toronto Waterfront Neighborhood. 24 Hr Concierge. Luxury High Ceiling Lobby. Close By Path Connection To Downtown Financial And Entertainment District. Ttc, Go Station. Family Size 3 Br Unit, Floor To Ceiling Glass Windows. Bright South/West..."
3773,31 Parliament St 1808,1113900,2,2,Toronto,Waterfront Communities C8,Parliament St,"No.31 Condominiums In The Distillery District. This Impressive Building Was Designed By New York's Award Winning Architects-Aquitectonica Whose Inspiration Was Drawn From The Industrial, Warehouse Vernacular Of The Vibrant Area.Most Suites Have Balconies Which Sit..."
3774,31 Parliament St 1807,985900,2,2,,,,"No.31 Condominiums In The Distillery District.This Impressive Building Was Designed By New York's Award Winning Architects-Aquitectonica Whose Inspiration Was Drawn From The Industrial, Warehouse Vernacular Of The Vibrant Area. Most Suites Have Balconies Which Sit..."
3775,71 Simcoe St #1202,1280000,2+1,2,,Bay Street Corridor,Simcoe St,"Beautiful, Very Spacious One Of A Kind Apartment In An Upscale Symphony Building Overlooking Roy Thompson Hall And The Downtown Core. Great Open Concept Living. Large Master Bedroom W/Huge Walk-In Closet & Gorgeous Master Bathroom Suite. Second Bedroom W/ B/I Murphy..."
3776,10231 Mink Line,1380000,2,1,Chatham-Kent,Blenheim,Mink Line,"1500-2000 Sqf Bunglow  Home With 6.7 Acre Land And 5 Big Barn About 15000-20000 Sqf.  Heat By Propane. And Steel Net Fence Surround It, Comercial Grade 3 Phase 600V Electrical Power On Property, Good For Indoor Grow Or Normal Farm Use. 5 Minite Drive To Two Supper..."
3777,9 Harbour St 4109,108888,2,2,Collingwood,Collingwood,Harbour St,Fractional Ownership Condo. Contract With Living Water Resorts. Usage Weeks: Feb 12 / Feb 19 / April 23. Term Ending 2024; Option To Be Bought Out From Developer At Market Rate Or To Buy Out Other Fractional Interests. Excellent Risk-Free Opportunity To Own A Piece Of...
3778,70 Elmsthorpe Ave 403,1988000,3+1,3,,Forest Hill South,Elmsthorpe Ave,Welcome To This Beautiful 3 Bedroom Penthouse Condo In The Prestigious Forest Hill Area! Beautifully Renovated Throughout With Open  Concept High End Kitchen And Dining Area.  Very Bright South East Exposure With Lots Of Windows Overlooking A Huge Wraparound Terrace...
3779,958535 7th Line,499000,0,0,Mulmur,Rural Mulmur,7th Line,"Build Your Dream Home On This Attractive L-Shaped 3.39 Acre Parcel. Partially Treed And Gently Rolling, Quiet Setting In Sought After Mulmur Township. Approximately 15 Minutes From Alliston! Offering Up To 1630 Sq Meters Of Building Envelope For Your Dream Home..."
3780,17 Alice St,1099000,2+1,2,Blue Mountains,Thornbury,Alice St,"Beautiful Home In Thornbury-A Block And A Half From Downtown. Renovated 5 Years Ago. Bright Sunroom (Fully Insulated) Is A Bonus. Subzero Fridge,Gas Stove,Gas Bbq Hookup On Deck.Close To Everything: Hiking,Skiing,Great Restaurants,The Lake & Beach,Wineries, Thornbury..."
3781,3500 Tremaine Rd,2899000,3+1,2,Burlington,Rural Burlington,Tremaine Rd,"Location, :Location, Location!!! On Border Of Oakville And Burlington, Mi Nutes From Hw407, 7 Minutes From Oakville Hospital, Minutes From Malls, Well Kept Acrage Property. $$$ Invested On Upgrades, Great Potential To Have Own Hobby Shop, Hard To Find Similar Property..."
3782,890 Sheppard Ave,75000,0,0,,Bathurst Manor,Sheppard Ave,"Three Ground Level Parking Spots Side By Side For Sale In Bathurst Manor. Located At Wilson Heights And Sheppard Ave. West. Easy Unobstructed Access, 5 Min Walk To Sheppard West Subway Station. An Extremely Rare Opportunity To Expand Your Existing (Or Non-Existing..."
3783,36 Forest Manor Rd 110,549700,1+1,2,,Henry Farm,Forest Manor Rd,"A Must See!!! Beautiful Brand New Condo With 1+1 Bedroom & 2 Washroom. Never Lived In. Located In Prime Location. 581 Sq Ft Open Concept Layout, With 100 Sq Ft Balcony. Walking Distance To Subway, Ttc & Fairview Mall. Close To All Amenities. Building Has 24 Hour..."
3784,120 Bayview Ave N303,638880,1+1,1,Bayview Ave,,,"Welcome To Canary Park! Perfect For Professionals, This Unique Functional Layout Living Space Boasts An Excellent Area For Entertaining Or Lounging Out. Area For An Office Space. Bright Kitchen, With Integrated And Stainless Steel Appliances. Bedroom Can Fit A Full..."
3785,7156 White Church Rd,7999000,0,0,Hamilton,Mount Hope,White Church Rd,"White Belt Future Development Property, As Identified In The City Of Hamilton Official Plan. 68 Acres, Fronting On White Church Rd And Miles Rd. This Property Is In The White Belt (Not Green Belt). This Property Features A Beautiful Home, Large Barn, And Is Presently..."
3786,13489 4th Line Nassagaweya,4400000,3,2,Milton,Nassagaweya,4th Line Nassagaweya,"Stunning 3 Bed,2 Bath Estate Sits On Magnificent 98 Acres Of Beautiful Land With 40 Acre Workable Spectacular Views Of Nature, Surrounded By Farmland, Forest.Private Lush Grounds, Perfect For Families, With An Abundance Of Activities To Occupy You & Enjoy The Fresh Air..."
3787,62 Murrie St,1699000,6,3,,Mimico,Murrie St,"Great Investment Opportunity In Prime Location! Extremely Well Maintained And Lots Of Parking At The Rear Of Building. Freshly Painted 3 - 2 Bedroom Units, Main And Second Floor Have Balconies And Main Floor Has Rear Access. Yearly Income Is $45,764. Recent Updates..."
3788,4118 New St,1300000,3,1,,Shoreacres,New St,"Location ! Location ! Location! 15 Mins Walk To Lake Ontario, Close To Downtown And Shopping. Great Opportunity In South East Burlington. Endless Potential 3 Bdrm Bungalow On A Big 60 X 130 Ft Lot, Backing Onto Strathcona Park. Fully Fenced, White Stone Driveway. Great..."
3789,1136 Streambank Dr,2199000,3+1,2,Mississauga,Lorne Park,Streambank Dr,"Attn Builders, Renovators & Investors! Prime Lorne Park Ravin Lot 75X160Ft! Excellent Opportunity To Build Your Dream Home On This 12,150Sqt Lot! You Can Build ~4,465Sqft Above Grade Excl. Garage. That's Close To 7,000Sqft Living Space Incl. Walkout Basement. Tnt Lease..."
3790,92 Klees Cres,2688000,4+1,4,Aurora,Aurora Highlands,Klees Cres,"Welcome To One Of The Most Prestigious & Magical Areas Of Aurora With Mature Trees & Parks! **Featuring One Of The Most Luxurious & Sophisticated ""Dolce"" Models By Geranium Homes W/Premium Elevation ""C"" 4006 Sq/Ft, 10 Ft Ceilings On Main & Primary Bedroom, 9Ft On 2nd..."
3791,1395 Coates Rd,1899999,0,0,Oshawa,Rural Oshawa,Coates Rd,Excellent Opportunity To Own 126 +/- Acres Just North Of Oshawa. 85 Acres Workable With Some Mixed Bush. Property Is Located Off A Dirt Portion Of Coates Rd E (Approx) 3Km Is Off Simcoe St). Seller Would Like To Lease Back The Property At Eight Thousand Per Year For A...
3792,91 Montrose Ave,1899000,3,4,,Palmerston-Little Italy,Montrose Ave,"Nestled Perfectly In Little Italy Within Steps To Trinity Bellwoods Park, This Open Concept Home Features Dramatically High 10 Foot Ceilings On Main And 2nd Floors. 3/4"" Hardwood Throughout. Chef's Own Custom Kitchen Is A Perfect Blend Of Style And Functionality With..."
3793,221 Willowdale Ave,3980000,4+3,6,Toronto,Willowdale East,Willowdale Ave,"Masterful Blend Of Traditional Style Facade With Flair Of Innovative Architecture Design. Luxury Home, Well Planned Layout In Perfect For Entertaining, Combined With Top Of The Line Finishes. Panelled Walls, Limestone Floors With Hardwood, Sec System, Home Twitter..."
3794,1 Wellington St 515,464900,2,2,Brantford,,,"Excellent Location , Brand New Never Lived Before Luxury Condo 2 Bedroom & 2 Bathroom Unit Located In Downtown Brantford Close To Amenities ,Appliances Included "
3795,1000 King St 406,799000,2,2,Kingston,,,"Sun Soaked 1,521Sf 2 Bdrm, 2 Bth Corner Unit With A Panoramic Sw View, Overlooking Lake Ontario, Nearby Walking Trails & Elevator Bay. Take In The Breathtaking Sunrises & Sunset Daily In One Of The Nicest Units In The Building. Unobstructed Open Concept And Tastefully..."
3796,467 Charlton Ave 205,569990,2,2,Hamilton,Stinson,Charlton Ave,"***Immaculate Open Concept Living Space W/ 2 Bdrms & 2 Full Wshrms!***Spruce Model***White Kitchen W/ Stainless Steel Appliances, Quartz Countertops & Oversized Island W/ Double Sink!***Large Living Area W/ Pot Lights & W/O To Balcony W/ Private City Views Of Hamilton..."
3797,251 Manitoba St 817,699900,1+1,1,,Mimico,Manitoba St,"Brand New 1 Bed+Den (Use As 2nd Br) At Empire Phoenix In Mystic Pointe With Unobstructed Views Of The Lake And Overlooking Future 12-Acre Grand Avenue Park. Amenities Include A Gorgeous Outdoor Infinity Pool & Rooftop Deck, State-Of-The-Art Fitness Facility, Wi-Fi..."
3798,20 Brin Dr 1308,869900,2,2,,Edenbridge-Humber Valley,Brin Dr,Welcome To Kingsway By The River. Nestled Between The Esteemed Kingsway And Lambton Communities. Humber River Trails At Your Door Step While Only A 15 Minute Drive From Downtown Toronto! Smooth 9' Ceilings And A Large Wraparound Balcony With Sunny S/W Exposures...
3799,281 Woodbridge Ave Parking,30000,0,0,Vaughan,West Woodbridge,Woodbridge Ave,Parking Available For Sale At Renaissance Court Building! Buyer Must Be A Registered Owner Of 281 Woodbridge Ave. In Vaughan. 
3800,20 Richardson St 919,949900,2,2,,Waterfront Communities C8,Richardson St,"Brand New Corner Split 2 Bdrm + 2 Bath Unit W/Parking & Locker Build By Daniels. Exceptional ""Champagne"" Layout. With Partial Water & City Views. $$$ Spent On Builder's Upgrades From Kitchen, Bath Tiles, Faucet, Center Island, Roller Blinds To Full Size Washer/Dryer..."
3801,68 Merton St 202,680000,1+1,2,,Mount Pleasant West,Merton St,"Attention Investors! Beautiful Condo In The Heart Of Yonge & Merton, Mins From Davisville Subway, With Access To The Kay Gardner Beltline Trail. A Spacious 1 Bed Plus Den & 2 Bath Condo. A Beautiful Layout With Soaring Ceilings, & Ultra Modern Finishes. A Thoughtful..."
3802,50 Lombard St 1502,825000,2,2,,Church-Yonge Corridor,Lombard St,"*Stunning Large Corner Unit 1292Sqft*Renovated Bright And Spacious Facing South And East*Upgraded Brazilian Cherry Hardwood Floors*Renovated Kitchen With Caesarstone Counter Tops, Porcelain Floor, And Upscale Stainless Steel Appliances*Same Owner For 27 Years *Fabulous..."
3803,36 Forest Manor Rd 307,649000,1+1,2,,Henry Farm,Forest Manor Rd,"*Emerald City / Lumina* Brand New Condo Unit Located In Prime Location. Walking Distance To Subway, Fairview Mall. Minutes To Highways 404 / 401. Super Convenient Location, Easy Access At Sheppard/ Don Mills Rd To All Amenities. Building Has 24 Hours Concierge, Fitness..."
3804,65 Government Rd,172000,2,1,Thessalon,,,"Solid Two Bedrooms Bungalow With Un Finished Full Basement. Newer Gas Furnance , Updated Hot Water Heater And Roof. Larger Yard Room To Build Garage. Selling As Is Conditions. "
3805,75 Charles St,3100000,3+1,5,Halton Hills,Georgetown,Charles St,"It's A Showstopper In The Park District On A Fabulous 1/4 Acre Lot! Exquisite Custom Built 9 Yr Old Bungaloft Ftrg An Incredible Great Rm W/Vaulted Ceilings & 2 F/P's, Stunning Kitch W/Ctr Island, His/Hers Offices, Primary Suite W/2 Custom W/In Clsts & Gorgeous Ensuite..."
3806,4524 Side Road 15 Rd,859900,3,1,Ramara,Rural Ramara,Side Road 15 Rd,"52 Acre Farm With Approx 45 Acres Of Workable Land. Title Drained. Currently Being Leased To Local Farmer. 3 Bdrm 2 Storey Farmhouse With New Furnace. Property Being Sold ""As Is Where Is"". 10 Mins To Town. Roof Is Steel & Shingles. House Requires Tlc. Hwt Is On Demand..."
3807,7909 9th Line,1399999,4,3,Essa,Rural Essa,9th Line,Stunning Brick Victorian 4 Bedroom Home Situated On 1.25 Acres. Total Finished Area Is 2667 Sq Ft. Eat In Kitchen With Updated Engineered Hardwood Flooring Continuing Into Family Room And Updated Cupboards With Premium Granite Counter Tops. M/F Family Room With Wood...
3808,732 Avenue Rd,3995000,8,4,,Forest Hill South,Avenue Rd,"Quietest Block On Avenue Rd. Just Below Upper Canada College, Plan Approved For Two New 3,400 Square Feet,  Luxury Single Family Homes Plus Lower Level With Front Yard Walk-Outs. Beautifully Designed By Richard Wengle 20' Wide Units, Includes Approval For Two New 2 Car..."
3809,48 Bruce Farm Dr,3288000,3+2,3,,Bayview Woods-Steeles,Bruce Farm Dr,"**Out Of Ordinary(150X290Ft Ravine/Table Land)**Extremely Rare 27,000Sf Tableland On Toronto's Spectacular Greenbelt-Hiking Trails/Bicycle-Walking Paths & Fall Salmon Runs On The River Right At Your Doorstep(Explore Nature)-Your Country Estate In The Heart Of Toronto..."
